,code,name,lat,long,tambon,amphoe,province,basin,region,station_type,geometry,index_right
5,BDLH  ,ทต.ลานหอย,17.008568,99.582944,ลานหอย,บ้านด่านลานหอย,สุโขทัย,แม่น้ำยม,ภาคเหนือ,R,POINT (562048.5191703987 1880595.2054925137),0
21,BSMP  ,อบต.บึงสามพัน,15.7780576,101.0208832,บึงสามพัน,บึงสามพัน,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R,POINT (716493.0421740364 1745424.0594145989),0
23,KRMT  ,ทต.บ้านโตนด,16.8337104,99.80272,โตนด,คีรีมาศ,สุโขทัย,แม่น้ำยม,ภาคเหนือ,R,POINT (585521.452742081 1861332.8994148157),0
27,LNR1  ,อบต.ท่ามะนาว,15.1993232,101.1638784,ท่ามะนาว,ชัยบาดาล,ลพบุรี,แม่น้ำป่าสัก,ภาคกลาง,R,POINT (732464.1843729914 1681523.50019383),0
28,SBT1  ,อบต.ชอนสารเดช,15.1849488,100.681312,ชอนสารเดช,หนองม่วง,ลพบุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,R,POINT (680619.8148486458 1679476.6163647512),0
29,SPPT  ,อบต.นายาง,17.909768,99.3096896,นายาง,สบปราบ,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R,POINT (532801.3167276946 1980229.9312950666),0
30,WTSG  ,ทต.วัดสิงห์,15.2583616,100.04496,วัดสิงห์,วัดสิงห์,ชัยนาท,แม่น้ำท่าจีน,ภาคกลาง,R,POINT (612210.3754313664 1687171.56948037),0
31,TTKO  ,ทต.ท่าตะโก,15.6324896,100.4748416,ท่าตะโก,ท่าตะโก,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R,POINT (658095.8441732647 1728832.499914616),0
32,LTYO  ,ศูนย์อปพร.อบต.ลาดยาว,15.7627856,99.741344,ลาดยาว,ลาดยาว,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R,POINT (579412.3655264974 1742835.8990045611),0
35,NGCG  ,ทต.หนองฉาง,15.3889504,99.8450304,หนองฉาง,หนองฉาง,อุทัยธานี,แม่น้ำสะแกกรัง,ภาคเหนือ,R,POINT (590683.6261135213 1701523.842090734),0
38,NKYG  ,ทต.หนองขาหย่าง,15.3622016,99.9383872,หนองขาหย่าง,หนองขาหย่าง,อุทัยธานี,แม่น้ำสะแกกรัง,ภาคเหนือ,R,POINT (600715.708436894 1698606.247341706),0
39,BARI  ,ศูนย์อปพร. อบต.บ้านไร่,15.0826576,99.51936,บ้านไร่,บ้านไร่,อุทัยธานี,แม่น้ำท่าจีน,ภาคเหนือ,R,POINT (555814.2378258873 1667534.1500017697),0
41,HIKT  ,อบต.ห้วยคต,15.3036432,99.6097152,ห้วยคต,ห้วยคต,อุทัยธานี,แม่น้ำท่าจีน,ภาคเหนือ,R,POINT (565456.593682461 1692002.6538262058),0
72,PTYS  ,อบต.หนองกุงธนสาร,16.638704,102.4205952,หนองกุงธนสาร,ภูเวียง,ขอนแก่น,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (864972.1570427029 1842709.5353302574),0
76,PPTC  ,อบต.โพธิ์ประทับช้าง,16.3106624,100.2953536,โพธิ์ประทับช้าง,โพธิ์ประทับช้าง,พิจิตร,แม่น้ำยม,ภาคเหนือ,R,POINT (638385.7444516947 1803739.0049871944),0
85,LGTI  ,อบต.บ้านแหง,18.7633824,100.0087616,บ้านแหง,งาว,ลำปาง,แม่น้ำยม,ภาคเหนือ,R,POINT (606325.6048027881 2074947.664665404),0
95,NNKO  ,อบต.โนนกอก,16.1992384,101.932384,โนนกอก,เกษตรสมบูรณ์,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (813543.9551611242 1793214.029502551),0
97,NNTU  ,อบต.นาหนองทุ่ม,16.67888,101.9871104,นาหนองทุ่ม,ชุมแพ,ขอนแก่น,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (818615.5933367477 1846416.988660791),0
101,NASW  ,อบต.นาซ่าว,17.824248,101.6691584,นาซ่าว,เชียงคาน,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R,POINT (782926.4268497177 1972759.4729141903),0
102,TPUR  ,ทต.ภูเรือ,17.4578016,101.3606464,หนองบัว,ภูเรือ,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R,POINT (750715.3642553324 1931750.583097502),0
103,NMNO  ,อบต.น้ำหนาว,16.7702416,101.6699584,น้ำหนาว,น้ำหนาว,เพชรบูรณ์,แม่น้ำชี,ภาคเหนือ,R,POINT (784629.4793200148 1856052.8007594547),0
128,HUYG  ,อบต.หนองโพนงาม,16.4305312,101.9662784,หนองโพนงาม,เกษตรสมบูรณ์,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (816797.9825528725 1818880.3307951945),0
129,CSMO  ,อบต.ช่องสามหมอ,16.1166976,102.2319616,ช่องสามหมอ,แก้งคร้อ,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (845747.401904182 1784552.9285815042),0
130,BJIG  ,อบต.บ้านเจียง,16.0188304,101.5000896,บ้านเจียง,ภักดีชุมพล,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (767535.9106181182 1772629.7521208269),0
131,BKHI  ,ทต.บ้านค่ายหมื่นแผ้ว,15.6989632,102.0147712,บ้านค่าย,เมืองชัยภูมิ,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (823161.7846664533 1737938.8642565773),0
135,BPIA  ,อบต.ท่าสะอาด,17.4902416,101.9320896,ท่าสะอาด,นาด้วง,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R,POINT (811390.4339323707 1936185.4393187033),0
136,KHPB  ,อบจ.เพชรบูรณ์,16.4412512,101.1490624,ในเมือง,เมืองเพชรบูรณ์,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R,POINT (729465.6579026245 1818963.5508821981),0
137,POCE  ,อบต.กกสะทอน,17.0894928,101.110048,กกสะทอน,ด่านซ้าย,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R,POINT (724535.7437333956 1890670.604208511),0
143,SITP  ,อบต.ศรีเทพ,15.4379056,101.162528,ศรีเทพ,ศรีเทพ,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R,POINT (732055.6308412338 1707927.3686288546),0
147,NGPI  ,อบต.หนองไผ่,15.9816496,101.07376,หนองไผ่,หนองไผ่,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R,POINT (721936.4712414604 1768011.7347892853),0
150,PSLI  ,ทต.ไพศาลี,15.6001744,100.6571904,ไพศาลี,ไพศาลี,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R,POINT (677675.0301592835 1725400.8451663267),0
155,DOCI  ,ทต.ทาสบเส้า,18.465392,99.1267456,ทาสบเส้า,แม่ทา,ลำพูน,แม่น้ำปิง,ภาคเหนือ,R,POINT (513381.9925196418 2041680.637908269),0
168,BTHI  ,ศูนย์อปพร. ทต.บ้านธิ,18.6517664,99.116512,บ้านธิ,บ้านธิ,ลำพูน,แม่น้ำปิง,ภาคเหนือ,R,POINT (512288.16603215894 2062300.8887896051),0
172,TEPT  ,อบต.โคกเริงรมย์,15.3994576,101.602592,โคกเริงรมย์,บำเหน็จณรงค์,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (779354.9743427287 1704194.208133449),0
173,SMSU  ,ทต.บ้านเต่า,16.3556384,102.3785984,บ้านเต่า,บ้านแท่น,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (861012.47962826 1811274.617525126),0
174,LHOK  ,อบต.เหล่ากอหก,17.4963824,100.8875136,เหล่ากอหก,นาแห้ว,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R,POINT (700406.5565485038 1935461.3777238228),0
175,NNPT  ,อบต.วังทอง,17.3207936,102.0247936,วังทอง,นาวัง,หนองบัวลำภู,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (821539.7689508222 1917571.965134139),0
177,BNHI  ,อบต.นาคำไฮ,17.2618176,102.338208,นาคำไฮ,เมืองหนองบัวลำภู,หนองบัวลำภู,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (854999.2105188688 1911590.220860596),0
178,SENM  ,ทต.เสริมงาม,18.0662384,99.2494784,ทุ่งงาม,เสริมงาม,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R,POINT (526400.6269948795 1997531.751136595),0
180,MRMT  ,อบต.แม่ระมาด,16.9899008,98.5182784,แม่ระมาด,แม่ระมาด,ตาก,แม่น้ำสาละวิน,ภาคเหนือ,R,POINT (448720.74394382176 1878500.8031749115),0
191,KGTP  ,ทต.คุ้งตะเภา,17.625312,100.1236672,คุ้งตะเภา,เมืองอุตรดิตถ์,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,R,POINT (619209.3287035396 1949086.292009027),0
200,CHHA  ,ทต.ช่อแฮ,18.0888608,100.2121216,ช่อแฮ,เมืองแพร่,แพร่,แม่น้ำยม,ภาคเหนือ,R,POINT (628261.720290736 2000438.0963124142),0
201,RGKG  ,อบต.ร้องกวาง,18.3588368,100.3339072,ร้องกวาง,ร้องกวาง,แพร่,แม่น้ำยม,ภาคเหนือ,R,POINT (640932.8169483162 2030403.3711902387),0
202,SGMN  ,ศูนย์พัฒนาเด็กเล็ก อบต.สูงเม่น,18.0626656,100.0952832,สูงเม่น,สูงเม่น,แพร่,แม่น้ำยม,ภาคเหนือ,R,POINT (615914.2667889711 1997462.1930779174),0
204,NMKI  ,ทต.หนองม่วงไข่,18.2642976,100.2001024,หนองม่วงไข่,หนองม่วงไข่,แพร่,แม่น้ำยม,ภาคเหนือ,R,POINT (626862.8807020755 2019843.2354584893),0
206,BNHG  ,ทต.บ้านโฮ่ง,18.3353328,98.8183552,บ้านโฮ่ง,บ้านโฮ่ง,ลำพูน,แม่น้ำปิง,ภาคเหนือ,R,POINT (480807.25315680215 2027295.676001277),0
208,CGMN  ,ทต.เชียงม่วน,18.8938416,100.28784,เชียงม่วน,เชียงม่วน,พะเยา,แม่น้ำยม,ภาคเหนือ,R,POINT (635639.8335312665 2089575.007037994),0
210,LEEE  ,ทต.วังดิน,17.8019888,98.9471552,ลี้,ลี้,ลำพูน,แม่น้ำปิง,ภาคเหนือ,R,POINT (494399.49981461314 1968279.3643988022),0
214,PASG  ,ทต.ป่าซาง,18.5181104,98.9394816,ป่าซาง,ป่าซาง,ลำพูน,แม่น้ำปิง,ภาคเหนือ,R,POINT (493612.3329076203 2047509.8794631273),0
217,SLBC  ,อบต.สลกบาตร,15.9790704,99.824608,สลกบาตร,ขาณุวรลักษบุรี,กำแพงเพชร,แม่น้ำเจ้าพระยา,ภาคเหนือ,R,POINT (588237.8862077702 1766795.068462972),0
219,SRKT  ,อบต.ท่าแฝก,17.9457168,100.6310656,ท่าแฝก,ท่าปลา,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,R,POINT (672740.664036691 1984937.6002614424),0
220,CEHM  ,อบต.แจ้ห่ม,18.712304,99.5820672,แจ้ห่ม,แจ้ห่ม,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R,POINT (561367.8699063167 2069095.0231201441),0
223,BPPS  ,อบต.บางตาหงาย,15.9371344,99.9916864,บางตาหงาย,บรรพตพิสัย,นครสวรรค์,แม่น้ำปิง,ภาคเหนือ,R,POINT (606139.7291942441 1762233.7881977216),0
224,KOLO  ,ทต.เก้าเลี้ยว,15.8602928,100.0917952,เก้าเลี้ยว,เก้าเลี้ยว,นครสวรรค์,แม่น้ำปิง,ภาคเหนือ,R,POINT (616899.7658306011 1753786.2608737515),0
225,BKDN  ,อบต.เขาทอง,15.5707184,100.1832064,เขาทอง,พยุหะคีรี,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R,POINT (626867.6337031785 1721803.2441492549),0
226,SKKG  ,อบต.สะแกกรัง,15.399048,100.0350656,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,แม่น้ำสะแกกรัง,ภาคเหนือ,R,POINT (611073.4567149124 1702729.685219298),0
227,SWAR  ,ทต.สว่างอารมณ์,15.5854112,99.8651456,สว่างอารมณ์,สว่างอารมณ์,อุทัยธานี,แม่น้ำสะแกกรัง,ภาคเหนือ,R,POINT (592754.7786523625 1723264.9089745597),0
229,WTBT  ,อบต.วัดโบสถ์,16.9581424,100.337312,วัดโบสถ์,วัดโบสถ์,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,R,POINT (642390.1804528382 1875409.2931922176),0
230,WCTK  ,โครงการชลประทานพิษณุโลก,16.8150544,100.2599104,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,R,POINT (634248.8520175396 1859522.658273233),0
231,BRKM  ,ทต.บางระกำเมืองใหม่,16.748904,100.0902784,บางระกำ,บางระกำ,พิษณุโลก,แม่น้ำยม,ภาคเหนือ,R,POINT (616212.0806588448 1852096.5489389831),0
232,BWKG  ,อบต.บ้านไร่,16.6107888,100.2658112,บ้านไร่,บางกระทุ่ม,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,R,POINT (635021.3071075554 1836925.7856352031),0
233,WGPO  ,ลานกีฬา อบต.วังโป่ง,16.3659136,100.8306816,วังโป่ง,วังโป่ง,เพชรบูรณ์,แม่น้ำน่าน,ภาคเหนือ,R,POINT (695535.2401050599 1810291.8064500764),0
234,WTLG  ,บ่อบำบัด ทม.พิจิตร,16.4332048,100.3319872,ในเมือง,เมืองพิจิตร,พิจิตร,แม่น้ำน่าน,ภาคเหนือ,R,POINT (642211.1268939463 1817322.7468894832),0
235,THTN  ,ทม.ตะพานหิน,16.2110688,100.4194624,ตะพานหิน,ตะพานหิน,พิจิตร,แม่น้ำน่าน,ภาคเหนือ,R,POINT (651723.246259121 1792807.6267871018),0
242,WGSA  ,ทต.กลางเวียง,18.5661856,100.7355136,กลางเวียง,เวียงสา,น่าน,แม่น้ำน่าน,ภาคเหนือ,R,POINT (683153.2436813653 2053711.3619917212),0
243,WSPN  ,อบต.วังทรายพูน,16.4061104,100.5386304,วังทรายพูน,วังทรายพูน,พิจิตร,แม่น้ำน่าน,ภาคเหนือ,R,POINT (664300.5707067847 1814481.0990893086),0
245,NAMN  ,สนามกีฬา ทต.บ่อแก้ว,18.2104736,100.662432,บ่อแก้ว,นาหมื่น,น่าน,แม่น้ำน่าน,ภาคเหนือ,R,POINT (675799.426150104 2014268.958907281),0
247,KKPA  ,ทต.โกรกพระ,15.5531504,100.0708672,โกรกพระ,โกรกพระ,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R,POINT (614830.6958723619 1719796.139368209),0
248,TGLG  ,อบต.ทุ่งแล้ง,17.9705056,99.7466304,ทุ่งแล้ง,ลอง,แพร่,แม่น้ำยม,ภาคเหนือ,R,POINT (579055.2044479782 1987081.3271030693),0
251,DITO  ,อบต.ดอยเต่า,17.9155216,98.7279424,ดอยเต่า,ดอยเต่า,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R,POINT (471185.49829643226 1980860.2646472168),0
252,CNDN  ,อบต.ชนแดน,16.1790688,100.901664,ชนแดน,ชนแดน,เพชรบูรณ์,แม่น้ำน่าน,ภาคเหนือ,R,POINT (703311.5687990446 1789683.5110803614),0
253,TAKL  ,อบต.ตาดกลอย,17.0035264,101.3660416,ตาดกลอย,หล่มเก่า,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R,POINT (751904.1716972239 1881466.7593427643),0
254,BNTK  ,อบต.ตากออก,17.0602816,99.064992,ตากออก,บ้านตาก,ตาก,แม่น้ำปิง,ภาคเหนือ,R,POINT (506915.7446259636 1886224.8574793665),0
255,WCBR  ,ทม.วิเชียรบุรี,15.6573136,101.124768,ท่าโรง,วิเชียรบุรี,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R,POINT (727760.590543556 1732170.054350953),0
256,PPCT  ,อบต.พบพระ,16.4163184,98.6871424,พบพระ,พบพระ,ตาก,แม่น้ำสาละวิน,ภาคเหนือ,R,POINT (466596.92273934867 1815012.8678765686),0
257,HOTT  ,อบต.หางดง,18.1619776,98.6085824,หางดง,ฮอด,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R,POINT (458601.2420589319 2008150.3428070492),0
258,PRGB  ,อบต.ปากแคว,17.0140464,99.814208,ปากแคว,เมืองสุโขทัย,สุโขทัย,แม่น้ำยม,ภาคเหนือ,R,POINT (586662.9098035406 1881289.1053221638),0
259,THCG  ,ทต.ทุ่งหัวช้าง,18.0034384,99.026912,ทุ่งหัวช้าง,ทุ่งหัวช้าง,ลำพูน,แม่น้ำปิง,ภาคเหนือ,R,POINT (502848.9197145132 1990566.160187441),0
260,SSRG  ,ทต.ศรีสำโรง,17.1682688,99.8726464,สามเรือน,ศรีสำโรง,สุโขทัย,แม่น้ำยม,ภาคเหนือ,R,POINT (592807.0002679247 1898378.5534436991),0
261,NMPT  ,ทต.น้ำปาด,17.7253184,100.6814016,แสนตอ,น้ำปาด,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,R,POINT (678292.1170770471 1960592.9040428668),0
262,TGSK  ,ทต.ทองแสนขัน,17.4679088,100.3324672,ป่าคาย,ทองแสนขัน,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,R,POINT (641485.9906252288 1931812.5430898468),0
263,DCCT  ,ทต.เด่นชัย,17.9836368,100.0516864,เด่นชัย,เด่นชัย,แพร่,แม่น้ำยม,ภาคเหนือ,R,POINT (611349.6377195051 1988690.72505401),0
264,WCHN  ,อบต.วังชิ้น,17.878864,99.619232,วังชิ้น,วังชิ้น,แพร่,แม่น้ำยม,ภาคเหนือ,R,POINT (565599.1791215261 1976892.441228342),0
266,NMKO  ,อบต.หนองไม้กอง,16.4356768,99.9451136,หนองไม้กอง,ไทรงาม,กำแพงเพชร,แม่น้ำยม,ภาคเหนือ,R,POINT (600901.0342940795 1817363.9747555598),0
267,KGLN  ,ทต.คลองลานพัฒนา,16.12252,99.329312,คลองลานพัฒนา,คลองลาน,กำแพงเพชร,แม่น้ำปิง,ภาคเหนือ,R,POINT (535212.2228994634 1782516.0332610733),0
268,TETN  ,อบต.แม่ปะ,17.6518064,99.2675712,แม่ปะ,เถิน,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R,POINT (528380.9445999593 1951683.5369947774),0
269,PSLT  ,อบต.โพธิ์ทอง,16.1209888,99.5257152,โพธิ์ทอง,ปางศิลาทอง,กำแพงเพชร,แม่น้ำปิง,ภาคเหนือ,R,POINT (556213.7951749777 1782390.1678576104),0
270,NKMT  ,อบต.บ่อแฮ้ว,18.3194288,99.4466112,บ่อแฮ้ว,เมืองลำปาง,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R,POINT (547193.9612689128 2025584.302933581),0
272,PHKD  ,อบต.ศรีฐาน,16.8770816,101.861408,ศรีฐาน,ภูกระดึง,เลย,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (804881.4720061 1868168.8046830916),0
273,RMMI  ,วัดวังตะเคียน,16.7114288,98.506688,ท่าสายลวด,แม่สอด,ตาก,แม่น้ำสาละวิน,ภาคเหนือ,R,POINT (447410.0314054465 1847697.401354527),0
274,KTKB  ,อบจ.ตาก,16.8778096,99.1396416,ระแหง,เมืองตาก,ตาก,แม่น้ำปิง,ภาคเหนือ,R,POINT (514873.5145415201 1866043.0670391144),0
275,PMPN  ,ศูนย์ดูแลผู้สูงอายุ ทต.สามเงา,17.2249056,99.0511424,สามเงา,สามเงา,ตาก,แม่น้ำปิง,ภาคเหนือ,R,POINT (505437.22840700514 1904436.20925001),0
277,UPCT  ,ทต.อุ้มผาง,16.0177824,98.86512,อุ้มผาง,อุ้มผาง,ตาก,แม่น้ำแม่กลอง,ภาคเหนือ,R,POINT (485570.2424624429 1770907.0542036719),0
278,SNKO  ,ทต.ศรีนคร,17.355064,99.9922496,ศรีนคร,ศรีนคร,สุโขทัย,แม่น้ำยม,ภาคเหนือ,R,POINT (605421.7211242137 1919106.9897980583),0
279,TSLM  ,ทต.ทุ่งเสลี่ยม,17.3237504,99.5675584,ทุ่งเสลี่ยม,ทุ่งเสลี่ยม,สุโขทัย,แม่น้ำยม,ภาคเหนือ,R,POINT (560308.8844131649 1915459.438843172),0
280,NGBA  ,ทต.หนองบัว,15.8707248,100.5973312,หนองบัว,หนองบัว,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R,POINT (671029.396626152 1755287.8393226415),0
282,TKFA  ,อบต.ตากฟ้า,15.2964704,100.5028096,ตากฟ้า,ตากฟ้า,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R,POINT (661354.5352842861 1691675.7080225756),0
283,MWOG  ,อบต.แม่วงก์,15.7810048,99.5459136,แม่วงก์,แม่วงก์,นครสวรรค์,แม่น้ำสะแกกรัง,ภาคเหนือ,R,POINT (558472.1070662509 1744787.3526887195),0
284,LNSK  ,อบต.ลานสัก,15.4727632,99.53968,ลานสัก,ลานสัก,อุทัยธานี,แม่น้ำสะแกกรัง,ภาคเหนือ,R,POINT (557890.9304276805 1710689.532233926),0
286,BNAN  ,อบต.บ้านกิ่ว,18.087,99.5041152,บ้านกิ่ว,แม่ทะ,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R,POINT (553341.2841914743 1999883.7817745404),0
287,NMPR  ,ทต.เนินมะปราง,16.5707248,100.6493632,เนินมะปราง,เนินมะปราง,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,R,POINT (675978.8229365104 1832789.9967043381),0
289,CTKN  ,อบต.ป่าแดง,17.2621568,100.576288,ป่าแดง,ชาติตระการ,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,R,POINT (667567.7106635754 1909240.6259306706),0
290,SYTL  ,อบต.วังงิ้ว,16.0156544,100.7328256,วังงิ้ว,ดงเจริญ,พิจิตร,แม่น้ำเจ้าพระยา,ภาคเหนือ,R,POINT (685407.4172966623 1771440.686875405),0
291,NSNO  ,อบต.หนองโสน,16.3965104,100.0552384,หนองโสน,สามง่าม,พิจิตร,แม่น้ำยม,ภาคเหนือ,R,POINT (612681.6622278236 1813088.8949177242),0
292,PTLE  ,ทต.โพทะเล,16.0937632,100.2600896,โพทะเล,โพทะเล,พิจิตร,แม่น้ำยม,ภาคเหนือ,R,POINT (634765.1713222387 1779717.836264555),0
293,TPKO  ,ทต.ทับคล้อ,16.1696384,100.5660096,ทับคล้อ,ทับคล้อ,พิจิตร,แม่น้ำน่าน,ภาคเหนือ,R,POINT (667425.4637289332 1788337.2708503425),0
300,BBON  ,อบต.แจ้ซ้อน,18.8169248,99.500032,แจ้ซ้อน,เมืองปาน,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R,POINT (552686.1354448464 2080644.939485162),0
307,CHTG  ,อบต.เจาทอง,15.9069184,101.4275264,เจาทอง,ภักดีชุมพล,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (759911.2959355884 1760148.9654096009),0
308,NSRS  ,โรงปรับปรุงคุณภาพน้ำฯ ทน.นครสวรรค์,15.698576,100.1369024,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R,POINT (621826.5281861896 1735921.0701056675),0
