,code,name,lat,long,tambon,amphoe,province,basin,region,station_type,geometry,index_right
468,PIN005,เก้าเลี้ยว,15.8505744,100.052032,หัวดง,เก้าเลี้ยว,นครสวรรค์,แม่น้ำปิง,ภาคเหนือ,W,POINT (612647.2509043273 1752689.3520690321),0
469,YOM005,ศรีสัชนาลัย,17.5171504,99.7587584,หาดเสี้ยว,ศรีสัชนาลัย,สุโขทัย,แม่น้ำยม,ภาคเหนือ,W,POINT (580541.861583666 1936926.7823287775),0
470,PIN004,ขาณุวรลักษบุรี,16.0647808,99.8603072,ป่าพุทรา,ขาณุวรลักษบุรี,กำแพงเพชร,แม่น้ำปิง,ภาคเหนือ,W,POINT (592018.8519708419 1776292.2710270989),0
472,NAN005,แม่น้ำเข็ก (ว้งทอง),16.855008,100.6668032,วังนกแอ่น,วังทอง,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,W,POINT (677576.7643107475 1864264.4941625742),0
474,NAN003,เมืองน่าน,18.7380144,100.7560896,ท่าน้าว,ภูเพียง,น่าน,แม่น้ำน่าน,ภาคเหนือ,W,POINT (685138.7351401432 2072751.362666044),0
475,YOM007,กงไกรลาศ,16.927288,99.9594112,กง,กงไกรลาศ,สุโขทัย,แม่น้ำยม,ภาคเหนือ,W,POINT (602166.1233312574 1871760.3673942487),0
476,CHI003,เมืองชัยภูมิ,15.6816048,102.0095232,บ้านค่าย,เมืองชัยภูมิ,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,W,POINT (822626.1236210803 1736008.5349790475),0
478,WAN002,แม่พริก,17.4452128,99.12896,แม่พริก,แม่พริก,ลำปาง,แม่น้ำวัง,ภาคเหนือ,W,POINT (513694.1063322114 1928812.4004067502),0
481,NAN002,ภูเพียง,18.859704,100.817184,เมืองจัง,ภูเพียง,น่าน,แม่น้ำน่าน,ภาคเหนือ,W,POINT (691443.7004495652 2086285.719473439),0
482,YOM009,โพธิ์ประทับช้าง,16.3107888,100.2717632,โพธิ์ประทับช้าง,โพธิ์ประทับช้าง,พิจิตร,แม่น้ำยม,ภาคเหนือ,W,POINT (635865.0837591034 1803737.1288724435),0
483,YOM008,บางระกำ,16.708176,100.1718272,บางระกำ,บางระกำ,พิษณุโลก,แม่น้ำยม,ภาคเหนือ,W,POINT (624931.829019113 1847639.8024314612),0
488,NAN006,บางกระทุ่ม,16.5804544,100.2386304,โคกสลุด,บางกระทุ่ม,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,W,POINT (632142.3326238616 1833551.3942933746),0
492,NAN007,ตะพานหิน,16.270416,100.4139904,งิ้วราย,ตะพานหิน,พิจิตร,แม่น้ำน่าน,ภาคเหนือ,W,POINT (651092.9235265083 1799370.0901079546),0
494,NAN004,พิชัย,17.2943984,100.0828224,ในเมือง,พิชัย,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,W,POINT (615083.3320939124 1912446.6400791937),0
499,PIN002,เมืองตาก,16.786512,99.183968,ประดาง,วังเจ้า,ตาก,แม่น้ำปิง,ภาคเหนือ,W,POINT (519604.21301025 1855947.2639115406),0
503,PIN003,สะพานลานดอกไม้,16.6282096,99.432608,ลานดอกไม้,เมืองกำแพงเพชร,กำแพงเพชร,แม่น้ำปิง,ภาคเหนือ,W,POINT (546138.3932364312 1838476.3163423939),0
507,YOM004,เด่นชัย,18.0208064,100.058784,เด่นชัย,เด่นชัย,แพร่,แม่น้ำยม,ภาคเหนือ,W,POINT (612077.6896838285 1992807.8720926242),0
510,YOM003,หนองม่วงไข่,18.2659008,100.1770624,น้ำรัด,หนองม่วงไข่,แพร่,แม่น้ำยม,ภาคเหนือ,W,POINT (624425.8988615205 2020004.8037722274),0
511,YOM006,สวรรคโลก,17.201904,99.8638656,ท่าทอง,สวรรคโลก,สุโขทัย,แม่น้ำยม,ภาคเหนือ,W,POINT (591856.5137154022 1902095.688620082),0
512,WAN003,เถิน,17.75176,99.230624,แม่ถอด,เถิน,ลำปาง,แม่น้ำวัง,ภาคเหนือ,W,POINT (524448.4480443916 1962736.584681509),0
514,NAN008,ชุมแสง,15.8692384,100.2648384,เกยไชย,ชุมแสง,นครสวรรค์,แม่น้ำน่าน,ภาคเหนือ,W,POINT (635424.1278017048 1754880.1304057408),0
516,PIN001,บ้านตาก,17.0406128,99.0662656,ตากตก,บ้านตาก,ตาก,แม่น้ำปิง,ภาคเหนือ,W,POINT (507052.0052676406 1884049.0302424538),0
518,WAN004,เกาะคา,18.1591488,99.384128,วังพร้าว,เกาะคา,ลำปาง,แม่น้ำวัง,ภาคเหนือ,W,POINT (540628.4090929974 2007835.737931386),0
521,CHI001,บ้านเขว้า,15.9331184,101.6995264,ภูแลนคา,บ้านเขว้า,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,W,POINT (789013.8910180875 1763407.3745910558),0
523,ATG132,ท้ายปตร.ชลมาร์คพิจารณ์,14.7706544,100.0882432,สามชุก,สามชุก,สุพรรณบุรี,แม่น้ำท่าจีน,ภาคกลาง,W,POINT (617124.2056646259 1633243.211540677),0
524,ATG181,เหนือปตร.ช่องแค,15.1462736,100.4129664,พรหมนิมิต,ตาคลี,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,W,POINT (651814.0626957862 1674993.7862216404),0
525,ATG182,ท้ายปตร.ช่องแค,15.1454816,100.4131904,พรหมนิมิต,ตาคลี,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,W,POINT (651838.6990749516 1674906.3183641671),0
527,ATG121,เหนือปตร.ท่าโบสถ์,15.0542288,100.0115904,สามง่ามท่าโบสถ์,หันคา,ชัยนาท,แม่น้ำท่าจีน,ภาคกลาง,W,POINT (608730.9863308725 1664573.2785665493),0
532,ATG042,ท้ายปตร.มะขามเฒ่า-อู่ทอง,15.2223168,100.0623424,มะขามเฒ่า,วัดสิงห์,ชัยนาท,แม่น้ำท่าจีน,ภาคกลาง,W,POINT (614096.5609180542 1683193.210861407),0
534,ATG131,เหนือปตร.ชลมาร์คพิจารณ์,14.7711808,100.0883712,สามชุก,สามชุก,สุพรรณบุรี,แม่น้ำท่าจีน,ภาคกลาง,W,POINT (617137.7013092262 1633301.50848541),0
535,ATG162,ท้ายปตร.ยางมณี,14.750368,100.4149696,พิกุลทอง,ท่าช้าง,สิงห์บุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (652308.4078751776 1631194.7985816833),0
538,ATG161,เหนือปตร.ยางมณี,14.7510208,100.4145984,พิกุลทอง,ท่าช้าง,สิงห์บุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,W,POINT (652267.9904185722 1631266.7675781695),0
